id,neighborhood,age,data,latitude,longitude,main_reason,race,genre,address,police_action
FC-00038,ESTACAO,29,22/12/2025 05:27:04,-8.052819,-34.86361,TIRO,PARDA,HOMEM CIS,"Rua 472, ESTACAO - Recife/PE",False
FC-00039,IPUTINGA,27,22/05/2021 15:25:44,-8.027095,-34.893104,TIRO,PARDA,HOMEM CIS,"Rua 66, IPUTINGA - Recife/PE",False
FC-00040,VARZEA,15,10/10/2019 15:53:00,-8.031572,-34.912744,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 108, VARZEA - Recife/PE",False
FC-00041,ESTACAO,39,17/04/2022 16:57:50,-8.055728,-34.866792,DISPARO,PRETA,HOMEM CIS,"Rua 338, ESTACAO - Recife/PE",False
FC-00042,COHAB,13,22/04/2024 12:51:12,-8.063239,-34.898429,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"Rua 24, COHAB - Recife/PE",False
FC-00043,NOVA DESCOBERTA,18,19/11/2021 05:44:24,-8.016699,-34.864701,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 125, NOVA DESCOBERTA - Recife/PE",False
FC-00044,VARZEA,23,08/07/2025 04:44:33,-8.039652,-34.914794,ROUBO,PARDA,HOMEM CIS,"Rua 286, VARZEA - Recife/PE",False
FC-00045,NOVA DESCOBERTA,17,20/09/2023 12:48:57,-8.013579,-34.867758,AMEACA,NAO IDENTIFICADO,MULHER CIS,"Rua 418, NOVA DESCOBERTA - Recife/PE",False
FC-00046,AFLITOS,48,28/12/2025 16:16:48,-8.04735,-34.872966,DISPARO,PARDA,HOMEM CIS,"Rua 327, AFLITOS - Recife/PE",False
FC-00047,NOVA DESCOBERTA,39,10/12/2022 07:21:20,-8.018693,-34.864318,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 42, NOVA DESCOBERTA - Recife/PE",False
FC-00048,VARZEA,45,11/07/2018 18:26:03,-8.039822,-34.914446,TIRO,PRETA,HOMEM CIS,"Rua 216, VARZEA - Recife/PE",False
FC-00049,CORDOARIA,33,13/10/2025 16:22:19,-8.055655,-34.876711,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 437, CORDOARIA - Recife/PE",False
FC-00050,CURADO,13,16/04/2024 06:27:31,-8.068434,-34.909109,TIRO,NAO IDENTIFICADO,MULHER CIS,"Rua 173, CURADO - Recife/PE",True
FC-00051,SANTO AMARO,33,18/10/2025 00:25:37,-8.056961,-34.87204,AMEACA,PRETA,HOMEM CIS,"Rua 14, SANTO AMARO - Recife/PE",False
FC-00052,COHAB,32,07/06/2020 16:21:48,-8.064121,-34.907143,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 143, COHAB - Recife/PE",False
FC-00053,ESPINHEIRO,58,02/09/2018 23:22:14,-8.040579,-34.871574,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,"Rua 400, ESPINHEIRO - Recife/PE",False
FC-00054,JAQUEIRA,37,05/10/2024 07:30:42,-8.040924,-34.865639,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 486, JAQUEIRA - Recife/PE",False
FC-00055,VARZEA,43,23/12/2023 02:52:10,-8.037462,-34.91211,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 56, VARZEA - Recife/PE",False
FC-00056,MANGABEIRA,37,07/12/2021 02:44:53,-8.007534,-34.86431,ROUBO,PRETA,MULHER CIS,"Rua 53, MANGABEIRA - Recife/PE",False
FC-00057,BOA VISTA,27,26/10/2024 01:34:27,-8.052261,-34.877669,AMEACA,PRETA,HOMEM CIS,"Rua 36, BOA VISTA - Recife/PE",False
FC-00058,ALTO JOSE DO PINHO,20,21/06/2019 22:29:45,-8.020231,-34.883977,AMEACA,PARDA,HOMEM CIS,"Rua 91, ALTO JOSE DO PINHO - Recife/PE",False
FC-00059,AFLITOS,35,15/08/2022 15:46:37,-8.042518,-34.871961,AMEACA,NAO IDENTIFICADO,MULHER CIS,"Rua 437, AFLITOS - Recife/PE",False
FC-00060,NOVA DESCOBERTA,52,20/10/2024 20:21:01,-8.015794,-34.856839,DISPARO,NAO IDENTIFICADO,MULHER CIS,"Rua 167, NOVA DESCOBERTA - Recife/PE",False
FC-00061,VARZEA,37,09/12/2025 18:33:12,-8.037571,-34.918213,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 369, VARZEA - Recife/PE",False
FC-00062,ESTACAO,35,26/08/2023 00:18:14,-8.05367,-34.868858,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 125, ESTACAO - Recife/PE",False
FC-00063,IPUTINGA,35,18/12/2021 13:44:29,-8.028218,-34.89554,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 129, IPUTINGA - Recife/PE",False
FC-00064,NOVA DESCOBERTA,11,06/12/2025 05:47:30,-8.01634,-34.862431,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 302, NOVA DESCOBERTA - Recife/PE",False
FC-00065,GRACO,32,12/04/2020 04:00:45,-8.046737,-34.86948,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 141, GRACO - Recife/PE",False
FC-00066,IBURA,34,04/08/2023 21:36:18,-8.084652,-34.891539,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 226, IBURA - Recife/PE",False
FC-00067,IPUTINGA,32,13/02/2019 17:36:40,-8.031429,-34.891927,ROUBO,NAO IDENTIFICADO,MULHER CIS,"Rua 78, IPUTINGA - Recife/PE",False
FC-00068,VARZEA,36,20/07/2019 19:39:14,-8.031751,-34.911839,OUTRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 195, VARZEA - Recife/PE",False
FC-00069,SAN MARTIN,13,02/10/2021 19:47:06,-8.042813,-34.876455,OUTRO,PARDA,HOMEM CIS,"Rua 107, SAN MARTIN - Recife/PE",False
FC-00070,VASCO DA GAMA,36,01/03/2022 15:44:38,-8.053455,-34.868442,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 17, VASCO DA GAMA - Recife/PE",False
FC-00071,NOVA DESCOBERTA,36,26/05/2023 21:37:42,-8.011593,-34.862138,DISPARO,PRETA,HOMEM CIS,"Rua 102, NOVA DESCOBERTA - Recife/PE",False
FC-00072,ESTACAO,37,02/02/2024 04:19:38,-8.053946,-34.868723,ROUBO,PRETA,HOMEM CIS,"Rua 292, ESTACAO - Recife/PE",False
FC-00073,JARDIM SAO PAULO,20,17/05/2021 18:28:05,-8.00571,-34.856456,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 456, JARDIM SAO PAULO - Recife/PE",False
FC-00074,ESTACAO,30,19/10/2025 23:48:43,-8.046056,-34.876602,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 296, ESTACAO - Recife/PE",False
FC-00075,IBURA,38,19/03/2025 15:52:31,-8.086838,-34.893416,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 241, IBURA - Recife/PE",False
FC-00076,IPUTINGA,43,16/12/2021 11:25:52,-8.027807,-34.896233,ROUBO,PRETA,HOMEM CIS,"Rua 19, IPUTINGA - Recife/PE",False
FC-00077,SAN MARTIN,21,27/09/2021 23:42:55,-8.037961,-34.880191,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 212, SAN MARTIN - Recife/PE",False
FC-00078,IBURA,32,07/01/2022 10:08:59,-8.081863,-34.893955,DISPARO,PRETA,HOMEM CIS,"Rua 451, IBURA - Recife/PE",False
FC-00079,BOA VISTA,55,10/03/2020 18:35:26,-8.048098,-34.881075,TIRO,BRANCA,HOMEM CIS,"Rua 431, BOA VISTA - Recife/PE",False
FC-00080,JARDIM SAO PAULO,32,10/12/2022 17:17:26,-8.006985,-34.852443,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"Rua 242, JARDIM SAO PAULO - Recife/PE",False
FC-00081,NOVA DESCOBERTA,20,28/03/2022 01:49:50,-8.015344,-34.863485,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"Rua 175, NOVA DESCOBERTA - Recife/PE",False
FC-00082,JARDIM SAO PAULO,40,19/10/2020 23:31:55,-8.008601,-34.856004,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 276, JARDIM SAO PAULO - Recife/PE",False
FC-00083,ALTO JOSE DO PINHO,24,23/04/2025 07:24:14,-8.02196,-34.879704,DISPARO,PARDA,HOMEM CIS,"Rua 211, ALTO JOSE DO PINHO - Recife/PE",False
FC-00084,IBURA,34,26/11/2021 21:09:31,-8.085783,-34.889246,AMEACA,PRETA,HOMEM CIS,"Rua 65, IBURA - Recife/PE",False
FC-00085,ALTO JOSE DO PINHO,55,15/09/2022 00:09:26,-8.016903,-34.889558,ROUBO,PARDA,HOMEM CIS,"Rua 497, ALTO JOSE DO PINHO - Recife/PE",False
FC-00086,VARZEA,24,03/11/2023 21:54:43,-8.031199,-34.917123,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 195, VARZEA - Recife/PE",False
FC-00087,JAQUEIRA,35,03/10/2022 07:43:58,-8.035676,-34.870781,DISPARO,PARDA,HOMEM CIS,"Rua 117, JAQUEIRA - Recife/PE",False
FC-00088,ESPINHEIRO,29,06/08/2025 20:57:01,-8.051724,-34.871073,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 408, ESPINHEIRO - Recife/PE",True
FC-00089,IBURA,26,26/11/2021 04:11:05,-8.085743,-34.887103,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 196, IBURA - Recife/PE",False
FC-00090,VASCO DA GAMA,12,15/05/2022 09:00:57,-8.05632,-34.879608,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 462, VASCO DA GAMA - Recife/PE",False
FC-00091,IPUTINGA,47,21/05/2025 23:44:16,-8.032308,-34.889511,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 155, IPUTINGA - Recife/PE",False
FC-00092,VARZEA,30,10/10/2023 23:18:01,-8.037945,-34.913614,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 338, VARZEA - Recife/PE",False
FC-00093,CORDOARIA,32,24/10/2025 17:57:57,-8.059801,-34.872791,AMEACA,PARDA,HOMEM CIS,"Rua 410, CORDOARIA - Recife/PE",False
FC-00094,NOVA DESCOBERTA,25,25/12/2020 19:53:08,-8.014659,-34.863014,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 463, NOVA DESCOBERTA - Recife/PE",False
FC-00095,VASCO DA GAMA,49,03/03/2021 22:20:47,-8.058713,-34.873601,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 103, VASCO DA GAMA - Recife/PE",False
FC-00096,COHAB,10,09/03/2025 22:30:51,-8.065455,-34.903235,DISPARO,BRANCA,HOMEM CIS,"Rua 446, COHAB - Recife/PE",False
FC-00097,IPUTINGA,33,24/11/2025 20:25:54,-8.029868,-34.893624,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 188, IPUTINGA - Recife/PE",False
FC-00098,COHAB,24,22/12/2021 10:24:52,-8.066768,-34.902451,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 191, COHAB - Recife/PE",False
FC-00099,COHAB,34,08/10/2022 19:40:52,-8.067079,-34.902301,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"Rua 359, COHAB - Recife/PE",False
FC-00100,IPUTINGA,33,04/08/2021 02:56:34,-8.025561,-34.891111,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 233, IPUTINGA - Recife/PE",False
FC-00101,CORDOARIA,20,05/12/2023 22:41:06,-8.059681,-34.870758,DISPARO,PRETA,MULHER CIS,"Rua 316, CORDOARIA - Recife/PE",False
FC-00102,ESTACAO,40,28/04/2022 14:43:23,-8.053063,-34.870648,DISPARO,NAO IDENTIFICADO,MULHER CIS,"Rua 331, ESTACAO - Recife/PE",False
FC-00103,CORDOARIA,45,03/08/2024 20:41:40,-8.059775,-34.871359,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 11, CORDOARIA - Recife/PE",False
FC-00104,IBURA,27,07/09/2020 18:52:55,-8.082653,-34.888704,AMEACA,AMARELA,HOMEM CIS,"Rua 397, IBURA - Recife/PE",False
FC-00105,VARZEA,43,18/03/2019 09:11:07,-8.032559,-34.911084,ROUBO,NAO IDENTIFICADO,MULHER CIS,"Rua 14, VARZEA - Recife/PE",False
FC-00106,COHAB,30,02/05/2018 03:26:33,-8.062954,-34.905931,DISPARO,PARDA,HOMEM CIS,"Rua 33, COHAB - Recife/PE",False
FC-00107,SAN MARTIN,33,02/10/2022 20:58:55,-8.04039,-34.877709,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 155, SAN MARTIN - Recife/PE",False
FC-00108,SAN MARTIN,40,04/11/2021 17:58:28,-8.042455,-34.871723,DISPARO,NAO IDENTIFICADO,MULHER CIS,"Rua 42, SAN MARTIN - Recife/PE",False
FC-00109,IPUTINGA,17,11/12/2023 14:38:33,-8.031643,-34.889526,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 259, IPUTINGA - Recife/PE",False
FC-00110,BREJO DA GUARDEIRA,39,24/09/2023 21:27:28,-8.068128,-34.898115,ROUBO,PRETA,HOMEM CIS,"Rua 212, BREJO DA GUARDEIRA - Recife/PE",False
FC-00111,IPUTINGA,29,09/11/2021 14:09:43,-8.030692,-34.892773,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 35, IPUTINGA - Recife/PE",False
FC-00112,COHAB,21,18/03/2021 01:35:35,-8.062075,-34.905441,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 63, COHAB - Recife/PE",False
FC-00113,ESTACAO,20,10/01/2025 19:22:06,-8.053964,-34.869761,DISPARO,BRANCA,MULHER CIS,"Rua 109, ESTACAO - Recife/PE",False
FC-00114,VARZEA,23,25/02/2022 10:14:51,-8.037467,-34.914269,DISPARO,PARDA,HOMEM CIS,"Rua 288, VARZEA - Recife/PE",False
FC-00115,GRACO,32,27/11/2018 20:01:11,-8.044521,-34.871413,TIRO,PRETA,HOMEM CIS,"Rua 391, GRACO - Recife/PE",False
FC-00116,IPUTINGA,32,03/07/2022 03:40:01,-8.032344,-34.897222,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"Rua 272, IPUTINGA - Recife/PE",False
FC-00117,VARZEA,21,20/10/2024 02:03:09,-8.03564,-34.914067,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 317, VARZEA - Recife/PE",False
FC-00118,IBURA,47,09/07/2023 06:32:07,-8.079427,-34.89248,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 57, IBURA - Recife/PE",False
FC-00119,IPUTINGA,29,20/07/2018 01:13:19,-8.031008,-34.893056,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 393, IPUTINGA - Recife/PE",False
FC-00120,VARZEA,26,05/03/2024 14:45:14,-8.034032,-34.917482,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 427, VARZEA - Recife/PE",False
FC-00121,SANTO AMARO,36,03/08/2022 21:36:27,-8.053402,-34.870326,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 364, SANTO AMARO - Recife/PE",False
FC-00122,VASCO DA GAMA,34,15/10/2019 21:58:23,-8.05293,-34.881204,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 433, VASCO DA GAMA - Recife/PE",False
FC-00123,COHAB,32,11/12/2025 06:49:10,-8.064962,-34.904707,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 325, COHAB - Recife/PE",False
FC-00124,COHAB,20,27/11/2024 03:06:09,-8.064926,-34.903506,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 89, COHAB - Recife/PE",False
FC-00125,BREJO DA GUARDEIRA,47,15/08/2024 21:48:37,-8.067122,-34.89354,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"Rua 474, BREJO DA GUARDEIRA - Recife/PE",False
FC-00126,CURADO,20,05/06/2025 15:30:28,-8.067383,-34.90945,HOMICIDIO/TENTATIVA,AMARELA,HOMEM CIS,"Rua 408, CURADO - Recife/PE",False
FC-00127,NOVA DESCOBERTA,56,12/01/2022 21:04:41,-8.017425,-34.867519,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 438, NOVA DESCOBERTA - Recife/PE",False
FC-00128,COHAB,22,02/12/2025 16:51:36,-8.071372,-34.906577,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 165, COHAB - Recife/PE",False
FC-00129,BREJO DA GUARDEIRA,20,23/06/2024 02:41:11,-8.069549,-34.898975,DISPARO,BRANCA,HOMEM CIS,"Rua 363, BREJO DA GUARDEIRA - Recife/PE",True
FC-00130,SAN MARTIN,52,13/05/2021 15:21:43,-8.037149,-34.879731,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 405, SAN MARTIN - Recife/PE",False
FC-00131,VASCO DA GAMA,19,24/05/2021 21:58:38,-8.053524,-34.883961,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 171, VASCO DA GAMA - Recife/PE",False
FC-00132,COHAB,51,13/11/2023 03:45:05,-8.061462,-34.906408,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 193, COHAB - Recife/PE",False
FC-00133,VASCO DA GAMA,10,17/11/2025 02:42:27,-8.050938,-34.880344,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 10, VASCO DA GAMA - Recife/PE",False
FC-00134,CORDOARIA,44,05/04/2022 03:18:54,-8.062783,-34.874798,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 260, CORDOARIA - Recife/PE",False
FC-00135,TOTOS,32,05/10/2021 19:09:10,-8.037859,-34.86635,HOMICIDIO/TENTATIVA,PARDA,MULHER CIS,"Rua 355, TOTOS - Recife/PE",False
FC-00136,TOTOS,37,24/11/2021 07:28:39,-8.041203,-34.865427,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 384, TOTOS - Recife/PE",False
FC-00137,POCO DA PANELA,31,12/04/2024 20:36:28,-8.033457,-34.859865,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"Rua 145, POCO DA PANELA - Recife/PE",False
FC-00138,TOTOS,16,05/10/2020 21:03:41,-8.042602,-34.861167,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 191, TOTOS - Recife/PE",False
FC-00139,MANGABEIRA,33,09/03/2020 16:32:09,-8.012245,-34.865347,ROUBO,PARDA,HOMEM CIS,"Rua 47, MANGABEIRA - Recife/PE",False
FC-00140,JAQUEIRA,31,13/01/2018 17:15:24,-8.034462,-34.867797,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 192, JAQUEIRA - Recife/PE",False
FC-00141,NOVA DESCOBERTA,54,05/03/2021 01:58:53,-8.009734,-34.865747,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 426, NOVA DESCOBERTA - Recife/PE",False
FC-00142,VARZEA,41,07/05/2018 21:35:46,-8.033064,-34.910894,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 217, VARZEA - Recife/PE",False
FC-00143,COHAB,18,15/10/2021 01:53:57,-8.062942,-34.901825,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 275, COHAB - Recife/PE",False
FC-00144,IBURA,10,12/10/2021 08:26:11,-8.08555,-34.898118,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 44, IBURA - Recife/PE",False
FC-00145,ALTO JOSE DO PINHO,26,18/09/2024 00:55:30,-8.017847,-34.880493,DISPARO,BRANCA,HOMEM CIS,"Rua 199, ALTO JOSE DO PINHO - Recife/PE",True
FC-00146,GRACO,30,22/12/2021 19:49:37,-8.038114,-34.87414,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"Rua 171, GRACO - Recife/PE",False
FC-00147,COHAB,10,15/11/2024 23:30:40,-8.065167,-34.903848,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 70, COHAB - Recife/PE",False
