id,neighborhood,age,data,latitude,longitude,main_reason,race,genre,address,police_action,hora_estimada,hora_valida,ano,mes,nome_mes,dia,dia_semana,trimestre,fim_semana,hora,periodo,ageGroup,fonte
FC-00011,ALTO JOSE DO PINHO,21.0,2024-11-18 21:49:41,-8.014443,-34.88504,HOMICIDIO/TENTATIVA,PARDA,NAO IDENTIFICADO,"RUA 151, ALTO JOSE DO PINHO - RECIFE/PE",False,False,21.0,2024,11,NOVEMBRO,18,SEGUNDA-FEIRA,4,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00012,ESTACAO,17.0,2020-09-25 04:58:06,-8.050532,-34.874663,ROUBO,BRANCA,HOMEM CIS,"RUA 153, ESTACAO - RECIFE/PE",False,False,4.0,2020,9,SETEMBRO,25,SEXTA-FEIRA,3,False,4.0,MADRUGADA,ADOLESCENTE,FOGO_CRUZADO
FC-00013,CAXANGA,32.0,2019-09-01 19:31:01,-8.030879,-34.923985,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 186, CAXANGA - RECIFE/PE",False,False,19.0,2019,9,SETEMBRO,1,DOMINGO,3,True,19.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00014,CURADO,34.0,2025-02-03 21:52:04,-8.067785,-34.909486,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,"RUA 273, CURADO - RECIFE/PE",False,False,21.0,2025,2,FEVEREIRO,3,SEGUNDA-FEIRA,1,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00015,TOTOS,28.0,2020-10-14 23:59:34,-8.038903,-34.869436,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 354, TOTOS - RECIFE/PE",False,False,23.0,2020,10,OUTUBRO,14,QUARTA-FEIRA,4,False,23.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00016,VARZEA,21.0,2022-09-15 03:14:04,-8.036382,-34.911829,TIRO,AMARELA,HOMEM CIS,"RUA 302, VARZEA - RECIFE/PE",False,False,3.0,2022,9,SETEMBRO,15,QUINTA-FEIRA,3,False,3.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00017,MANGABEIRA,34.0,2018-02-02 21:04:32,-8.015289,-34.869028,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 343, MANGABEIRA - RECIFE/PE",False,False,21.0,2018,2,FEVEREIRO,2,SEXTA-FEIRA,1,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00018,ALTO JOSE DO PINHO,25.0,2023-04-26 16:26:12,-8.022031,-34.883165,ROUBO,PRETA,HOMEM CIS,"RUA 338, ALTO JOSE DO PINHO - RECIFE/PE",False,False,16.0,2023,4,ABRIL,26,QUARTA-FEIRA,2,False,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00019,ESTACAO,42.0,2023-11-04 01:46:21,-8.050206,-34.873518,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 56, ESTACAO - RECIFE/PE",False,False,1.0,2023,11,NOVEMBRO,4,SÁBADO,4,True,1.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00020,NOVA DESCOBERTA,26.0,2020-04-28 22:28:51,-8.014006,-34.862073,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 282, NOVA DESCOBERTA - RECIFE/PE",False,False,22.0,2020,4,ABRIL,28,TERÇA-FEIRA,2,False,22.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00021,COHAB,24.0,2019-04-06 15:30:13,-8.065557,-34.908319,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 463, COHAB - RECIFE/PE",False,False,15.0,2019,4,ABRIL,6,SÁBADO,2,True,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00022,IBURA,15.0,2024-08-10 15:46:50,-8.079562,-34.887931,HOMICIDIO/TENTATIVA,AMARELA,HOMEM CIS,"RUA 368, IBURA - RECIFE/PE",False,False,15.0,2024,8,AGOSTO,10,SÁBADO,3,True,15.0,TARDE,ADOLESCENTE,FOGO_CRUZADO
FC-00023,ALTO JOSE DO PINHO,29.0,2024-01-24 12:03:37,-8.016989,-34.883915,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 471, ALTO JOSE DO PINHO - RECIFE/PE",False,False,12.0,2024,1,JANEIRO,24,QUARTA-FEIRA,1,False,12.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00024,CAXANGA,22.0,2020-10-03 20:15:25,-8.023916,-34.915386,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"RUA 456, CAXANGA - RECIFE/PE",False,False,20.0,2020,10,OUTUBRO,3,SÁBADO,4,True,20.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00025,MANGABEIRA,29.0,2023-10-17 12:16:13,-8.005306,-34.877859,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 161, MANGABEIRA - RECIFE/PE",False,False,12.0,2023,10,OUTUBRO,17,TERÇA-FEIRA,4,False,12.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00026,NOVA DESCOBERTA,39.0,2021-02-01 16:36:06,-8.014739,-34.865897,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"RUA 110, NOVA DESCOBERTA - RECIFE/PE",False,False,16.0,2021,2,FEVEREIRO,1,SEGUNDA-FEIRA,1,False,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00027,ALTO JOSE DO PINHO,31.0,2020-05-06 15:34:45,-8.025963,-34.885659,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 414, ALTO JOSE DO PINHO - RECIFE/PE",False,False,15.0,2020,5,MAIO,6,QUARTA-FEIRA,2,False,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00028,SANTO AMARO,34.0,2023-03-09 02:06:47,-8.053566,-34.871555,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 140, SANTO AMARO - RECIFE/PE",False,False,2.0,2023,3,MARÇO,9,QUINTA-FEIRA,1,False,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00029,NOVA DESCOBERTA,20.0,2024-09-16 09:58:54,-8.016505,-34.862254,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 325, NOVA DESCOBERTA - RECIFE/PE",True,False,9.0,2024,9,SETEMBRO,16,SEGUNDA-FEIRA,3,False,9.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00030,ESTACAO,33.0,2023-05-06 21:35:45,-8.054589,-34.86946,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"RUA 5, ESTACAO - RECIFE/PE",False,False,21.0,2023,5,MAIO,6,SÁBADO,2,True,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00031,COHAB,33.0,2018-06-19 18:27:08,-8.062094,-34.907106,HOMICIDIO/TENTATIVA,PRETA,MULHER CIS,"RUA 187, COHAB - RECIFE/PE",True,False,18.0,2018,6,JUNHO,19,TERÇA-FEIRA,2,False,18.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00032,CURADO,26.0,2020-04-22 02:49:35,-8.071176,-34.914391,ROUBO,PARDA,HOMEM CIS,"RUA 209, CURADO - RECIFE/PE",False,False,2.0,2020,4,ABRIL,22,QUARTA-FEIRA,2,False,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00033,GRACO,33.0,2019-03-14 00:47:59,-8.042217,-34.869985,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"RUA 477, GRACO - RECIFE/PE",False,False,0.0,2019,3,MARÇO,14,QUINTA-FEIRA,1,False,0.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00034,ESTACAO,27.0,2019-12-04 14:02:54,-8.057246,-34.872262,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"RUA 103, ESTACAO - RECIFE/PE",False,False,14.0,2019,12,DEZEMBRO,4,QUARTA-FEIRA,4,False,14.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00035,CASA AMARELA,25.0,2020-01-22 05:21:17,-8.034407,-34.860484,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"RUA 496, CASA AMARELA - RECIFE/PE",False,False,5.0,2020,1,JANEIRO,22,QUARTA-FEIRA,1,False,5.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00036,TOTOS,34.0,2024-06-01 02:16:11,-8.032341,-34.864476,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 136, TOTOS - RECIFE/PE",False,False,2.0,2024,6,JUNHO,1,SÁBADO,2,True,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00037,IBURA,33.0,2022-09-04 14:36:12,-8.082223,-34.897756,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"RUA 363, IBURA - RECIFE/PE",False,False,14.0,2022,9,SETEMBRO,4,DOMINGO,3,True,14.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00038,ESTACAO,29.0,2025-12-22 05:27:04,-8.052819,-34.86361,TIRO,PARDA,HOMEM CIS,"RUA 472, ESTACAO - RECIFE/PE",False,False,5.0,2025,12,DEZEMBRO,22,SEGUNDA-FEIRA,4,False,5.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00039,IPUTINGA,27.0,2021-05-22 15:25:44,-8.027095,-34.893104,TIRO,PARDA,HOMEM CIS,"RUA 66, IPUTINGA - RECIFE/PE",False,False,15.0,2021,5,MAIO,22,SÁBADO,2,True,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00040,VARZEA,15.0,2019-10-10 15:53:00,-8.031572,-34.912744,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 108, VARZEA - RECIFE/PE",False,False,15.0,2019,10,OUTUBRO,10,QUINTA-FEIRA,4,False,15.0,TARDE,ADOLESCENTE,FOGO_CRUZADO
FC-00041,ESTACAO,39.0,2022-04-17 16:57:50,-8.055728,-34.866792,DISPARO,PRETA,HOMEM CIS,"RUA 338, ESTACAO - RECIFE/PE",False,False,16.0,2022,4,ABRIL,17,DOMINGO,2,True,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00042,COHAB,13.0,2024-04-22 12:51:12,-8.063239,-34.898429,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"RUA 24, COHAB - RECIFE/PE",False,False,12.0,2024,4,ABRIL,22,SEGUNDA-FEIRA,2,False,12.0,TARDE,ADOLESCENTE,FOGO_CRUZADO
FC-00043,NOVA DESCOBERTA,18.0,2021-11-19 05:44:24,-8.016699,-34.864701,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 125, NOVA DESCOBERTA - RECIFE/PE",False,False,5.0,2021,11,NOVEMBRO,19,SEXTA-FEIRA,4,False,5.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00044,VARZEA,23.0,2025-07-08 04:44:33,-8.039652,-34.914794,ROUBO,PARDA,HOMEM CIS,"RUA 286, VARZEA - RECIFE/PE",False,False,4.0,2025,7,JULHO,8,TERÇA-FEIRA,3,False,4.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00045,NOVA DESCOBERTA,17.0,2023-09-20 12:48:57,-8.013579,-34.867758,AMEACA,NAO IDENTIFICADO,MULHER CIS,"RUA 418, NOVA DESCOBERTA - RECIFE/PE",False,False,12.0,2023,9,SETEMBRO,20,QUARTA-FEIRA,3,False,12.0,TARDE,ADOLESCENTE,FOGO_CRUZADO
FC-00046,AFLITOS,48.0,2025-12-28 16:16:48,-8.04735,-34.872966,DISPARO,PARDA,HOMEM CIS,"RUA 327, AFLITOS - RECIFE/PE",False,False,16.0,2025,12,DEZEMBRO,28,DOMINGO,4,True,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00047,NOVA DESCOBERTA,39.0,2022-12-10 07:21:20,-8.018693,-34.864318,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 42, NOVA DESCOBERTA - RECIFE/PE",False,False,7.0,2022,12,DEZEMBRO,10,SÁBADO,4,True,7.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00048,VARZEA,45.0,2018-07-11 18:26:03,-8.039822,-34.914446,TIRO,PRETA,HOMEM CIS,"RUA 216, VARZEA - RECIFE/PE",False,False,18.0,2018,7,JULHO,11,QUARTA-FEIRA,3,False,18.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00049,CORDOARIA,33.0,2025-10-13 16:22:19,-8.055655,-34.876711,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"RUA 437, CORDOARIA - RECIFE/PE",False,False,16.0,2025,10,OUTUBRO,13,SEGUNDA-FEIRA,4,False,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00050,CURADO,13.0,2024-04-16 06:27:31,-8.068434,-34.909109,TIRO,NAO IDENTIFICADO,MULHER CIS,"RUA 173, CURADO - RECIFE/PE",True,False,6.0,2024,4,ABRIL,16,TERÇA-FEIRA,2,False,6.0,MANHÃ,ADOLESCENTE,FOGO_CRUZADO
FC-00051,SANTO AMARO,33.0,2025-10-18 00:25:37,-8.056961,-34.87204,AMEACA,PRETA,HOMEM CIS,"RUA 14, SANTO AMARO - RECIFE/PE",False,False,0.0,2025,10,OUTUBRO,18,SÁBADO,4,True,0.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00052,COHAB,32.0,2020-06-07 16:21:48,-8.064121,-34.907143,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 143, COHAB - RECIFE/PE",False,False,16.0,2020,6,JUNHO,7,DOMINGO,2,True,16.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00053,ESPINHEIRO,58.0,2018-09-02 23:22:14,-8.040579,-34.871574,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,"RUA 400, ESPINHEIRO - RECIFE/PE",False,False,23.0,2018,9,SETEMBRO,2,DOMINGO,3,True,23.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00054,JAQUEIRA,37.0,2024-10-05 07:30:42,-8.040924,-34.865639,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 486, JAQUEIRA - RECIFE/PE",False,False,7.0,2024,10,OUTUBRO,5,SÁBADO,4,True,7.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00055,VARZEA,43.0,2023-12-23 02:52:10,-8.037462,-34.91211,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 56, VARZEA - RECIFE/PE",False,False,2.0,2023,12,DEZEMBRO,23,SÁBADO,4,True,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00056,MANGABEIRA,37.0,2021-12-07 02:44:53,-8.007534,-34.86431,ROUBO,PRETA,MULHER CIS,"RUA 53, MANGABEIRA - RECIFE/PE",False,False,2.0,2021,12,DEZEMBRO,7,TERÇA-FEIRA,4,False,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00057,BOA VISTA,27.0,2024-10-26 01:34:27,-8.052261,-34.877669,AMEACA,PRETA,HOMEM CIS,"RUA 36, BOA VISTA - RECIFE/PE",False,False,1.0,2024,10,OUTUBRO,26,SÁBADO,4,True,1.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00058,ALTO JOSE DO PINHO,20.0,2019-06-21 22:29:45,-8.020231,-34.883977,AMEACA,PARDA,HOMEM CIS,"RUA 91, ALTO JOSE DO PINHO - RECIFE/PE",False,False,22.0,2019,6,JUNHO,21,SEXTA-FEIRA,2,False,22.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00059,AFLITOS,35.0,2022-08-15 15:46:37,-8.042518,-34.871961,AMEACA,NAO IDENTIFICADO,MULHER CIS,"RUA 437, AFLITOS - RECIFE/PE",False,False,15.0,2022,8,AGOSTO,15,SEGUNDA-FEIRA,3,False,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00060,NOVA DESCOBERTA,52.0,2024-10-20 20:21:01,-8.015794,-34.856839,DISPARO,NAO IDENTIFICADO,MULHER CIS,"RUA 167, NOVA DESCOBERTA - RECIFE/PE",False,False,20.0,2024,10,OUTUBRO,20,DOMINGO,4,True,20.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00061,VARZEA,37.0,2025-12-09 18:33:12,-8.037571,-34.918213,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 369, VARZEA - RECIFE/PE",False,False,18.0,2025,12,DEZEMBRO,9,TERÇA-FEIRA,4,False,18.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00062,ESTACAO,35.0,2023-08-26 00:18:14,-8.05367,-34.868858,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 125, ESTACAO - RECIFE/PE",False,False,0.0,2023,8,AGOSTO,26,SÁBADO,3,True,0.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00063,IPUTINGA,35.0,2021-12-18 13:44:29,-8.028218,-34.89554,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 129, IPUTINGA - RECIFE/PE",False,False,13.0,2021,12,DEZEMBRO,18,SÁBADO,4,True,13.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00064,NOVA DESCOBERTA,11.0,2025-12-06 05:47:30,-8.01634,-34.862431,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 302, NOVA DESCOBERTA - RECIFE/PE",False,False,5.0,2025,12,DEZEMBRO,6,SÁBADO,4,True,5.0,MADRUGADA,CRIANCA,FOGO_CRUZADO
FC-00065,GRACO,32.0,2020-04-12 04:00:45,-8.046737,-34.86948,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 141, GRACO - RECIFE/PE",False,False,4.0,2020,4,ABRIL,12,DOMINGO,2,True,4.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00066,IBURA,34.0,2023-08-04 21:36:18,-8.084652,-34.891539,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"RUA 226, IBURA - RECIFE/PE",False,False,21.0,2023,8,AGOSTO,4,SEXTA-FEIRA,3,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00067,IPUTINGA,32.0,2019-02-13 17:36:40,-8.031429,-34.891927,ROUBO,NAO IDENTIFICADO,MULHER CIS,"RUA 78, IPUTINGA - RECIFE/PE",False,False,17.0,2019,2,FEVEREIRO,13,QUARTA-FEIRA,1,False,17.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00068,VARZEA,36.0,2019-07-20 19:39:14,-8.031751,-34.911839,OUTRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 195, VARZEA - RECIFE/PE",False,False,19.0,2019,7,JULHO,20,SÁBADO,3,True,19.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00069,SAN MARTIN,13.0,2021-10-02 19:47:06,-8.042813,-34.876455,OUTRO,PARDA,HOMEM CIS,"RUA 107, SAN MARTIN - RECIFE/PE",False,False,19.0,2021,10,OUTUBRO,2,SÁBADO,4,True,19.0,NOITE,ADOLESCENTE,FOGO_CRUZADO
FC-00070,VASCO DA GAMA,36.0,2022-03-01 15:44:38,-8.053455,-34.868442,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 17, VASCO DA GAMA - RECIFE/PE",False,False,15.0,2022,3,MARÇO,1,TERÇA-FEIRA,1,False,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00071,NOVA DESCOBERTA,36.0,2023-05-26 21:37:42,-8.011593,-34.862138,DISPARO,PRETA,HOMEM CIS,"RUA 102, NOVA DESCOBERTA - RECIFE/PE",False,False,21.0,2023,5,MAIO,26,SEXTA-FEIRA,2,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00072,ESTACAO,37.0,2024-02-02 04:19:38,-8.053946,-34.868723,ROUBO,PRETA,HOMEM CIS,"RUA 292, ESTACAO - RECIFE/PE",False,False,4.0,2024,2,FEVEREIRO,2,SEXTA-FEIRA,1,False,4.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00073,JARDIM SAO PAULO,20.0,2021-05-17 18:28:05,-8.00571,-34.856456,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 456, JARDIM SAO PAULO - RECIFE/PE",False,False,18.0,2021,5,MAIO,17,SEGUNDA-FEIRA,2,False,18.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00074,ESTACAO,30.0,2025-10-19 23:48:43,-8.046056,-34.876602,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 296, ESTACAO - RECIFE/PE",False,False,23.0,2025,10,OUTUBRO,19,DOMINGO,4,True,23.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00075,IBURA,38.0,2025-03-19 15:52:31,-8.086838,-34.893416,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 241, IBURA - RECIFE/PE",False,False,15.0,2025,3,MARÇO,19,QUARTA-FEIRA,1,False,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00076,IPUTINGA,43.0,2021-12-16 11:25:52,-8.027807,-34.896233,ROUBO,PRETA,HOMEM CIS,"RUA 19, IPUTINGA - RECIFE/PE",False,False,11.0,2021,12,DEZEMBRO,16,QUINTA-FEIRA,4,False,11.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00077,SAN MARTIN,21.0,2021-09-27 23:42:55,-8.037961,-34.880191,BRIGA,NAO IDENTIFICADO,HOMEM CIS,"RUA 212, SAN MARTIN - RECIFE/PE",False,False,23.0,2021,9,SETEMBRO,27,SEGUNDA-FEIRA,3,False,23.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00078,IBURA,32.0,2022-01-07 10:08:59,-8.081863,-34.893955,DISPARO,PRETA,HOMEM CIS,"RUA 451, IBURA - RECIFE/PE",False,False,10.0,2022,1,JANEIRO,7,SEXTA-FEIRA,1,False,10.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00079,BOA VISTA,55.0,2020-03-10 18:35:26,-8.048098,-34.881075,TIRO,BRANCA,HOMEM CIS,"RUA 431, BOA VISTA - RECIFE/PE",False,False,18.0,2020,3,MARÇO,10,TERÇA-FEIRA,1,False,18.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00080,JARDIM SAO PAULO,32.0,2022-12-10 17:17:26,-8.006985,-34.852443,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"RUA 242, JARDIM SAO PAULO - RECIFE/PE",False,False,17.0,2022,12,DEZEMBRO,10,SÁBADO,4,True,17.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00081,NOVA DESCOBERTA,20.0,2022-03-28 01:49:50,-8.015344,-34.863485,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"RUA 175, NOVA DESCOBERTA - RECIFE/PE",False,False,1.0,2022,3,MARÇO,28,SEGUNDA-FEIRA,1,False,1.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00082,JARDIM SAO PAULO,40.0,2020-10-19 23:31:55,-8.008601,-34.856004,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"RUA 276, JARDIM SAO PAULO - RECIFE/PE",False,False,23.0,2020,10,OUTUBRO,19,SEGUNDA-FEIRA,4,False,23.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00083,ALTO JOSE DO PINHO,24.0,2025-04-23 07:24:14,-8.02196,-34.879704,DISPARO,PARDA,HOMEM CIS,"RUA 211, ALTO JOSE DO PINHO - RECIFE/PE",False,False,7.0,2025,4,ABRIL,23,QUARTA-FEIRA,2,False,7.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00084,IBURA,34.0,2021-11-26 21:09:31,-8.085783,-34.889246,AMEACA,PRETA,HOMEM CIS,"RUA 65, IBURA - RECIFE/PE",False,False,21.0,2021,11,NOVEMBRO,26,SEXTA-FEIRA,4,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00085,ALTO JOSE DO PINHO,55.0,2022-09-15 00:09:26,-8.016903,-34.889558,ROUBO,PARDA,HOMEM CIS,"RUA 497, ALTO JOSE DO PINHO - RECIFE/PE",False,False,0.0,2022,9,SETEMBRO,15,QUINTA-FEIRA,3,False,0.0,MADRUGADA,ADULTO,FOGO_CRUZADO
