neighborhood,ocorrencias,idade_media,acao_policial,pct_fim_semana,periodo_MADRUGADA,periodo_MANHÃ,periodo_NOITE,periodo_TARDE,tipo_AMEACA,tipo_DISPARO,tipo_HOMICIDIO/TENTATIVA,tipo_OUTROS,tipo_ROUBO,tipo_TIRO,cluster
ESTACAO,80,29.1625,0.05,0.3375,0.2625,0.1,0.475,0.1625,0.0375,0.225,0.375,0.075,0.1,0.1875,0
GRACO,34,29.58823529411765,0.0,0.20588235294117646,0.2647058823529412,0.11764705882352941,0.5,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.17647058823529413,3
IBURA,150,30.446666666666665,0.06,0.22666666666666666,0.26,0.07333333333333333,0.4533333333333333,0.21333333333333335,0.14666666666666667,0.3,0.30666666666666664,0.06,0.07333333333333333,0.11333333333333333,2
IPUTINGA,148,30.12162162162162,0.08108108108108109,0.23648648648648649,0.19594594594594594,0.08108108108108109,0.49324324324324326,0.22972972972972974,0.11486486486486487,0.23648648648648649,0.2972972972972973,0.0472972972972973,0.13513513513513514,0.16891891891891891,2
JAQUEIRA,39,30.794871794871796,0.07692307692307693,0.3333333333333333,0.20512820512820512,0.07692307692307693,0.5128205128205128,0.20512820512820512,0.1794871794871795,0.05128205128205128,0.38461538461538464,0.05128205128205128,0.05128205128205128,0.28205128205128205,3
JARDIM SAO PAULO,64,29.40625,0.015625,0.296875,0.21875,0.046875,0.484375,0.25,0.09375,0.3125,0.34375,0.046875,0.09375,0.109375,0
MANGABEIRA,92,30.043478260869566,0.09782608695652174,0.21739130434782608,0.1956521739130435,0.09782608695652174,0.43478260869565216,0.2717391304347826,0.13043478260869565,0.3695652173913043,0.22826086956521738,0.08695652173913043,0.08695652173913043,0.09782608695652174,2
NOVA DESCOBERTA,154,30.551948051948052,0.08441558441558442,0.35714285714285715,0.2077922077922078,0.11038961038961038,0.44805194805194803,0.23376623376623376,0.14285714285714285,0.2792207792207792,0.2857142857142857,0.045454545454545456,0.06493506493506493,0.18181818181818182,2
POCO DA PANELA,32,29.15625,0.03125,0.25,0.15625,0.0,0.625,0.21875,0.09375,0.40625,0.21875,0.03125,0.09375,0.15625,1
ROSARINHO,34,33.0,0.058823529411764705,0.29411764705882354,0.29411764705882354,0.08823529411764706,0.35294117647058826,0.2647058823529412,0.11764705882352941,0.2647058823529412,0.2647058823529412,0.029411764705882353,0.11764705882352941,0.20588235294117646,2
SAN MARTIN,97,32.24742268041237,0.07216494845360824,0.20618556701030927,0.1958762886597938,0.05154639175257732,0.41237113402061853,0.3402061855670103,0.1134020618556701,0.29896907216494845,0.27835051546391754,0.07216494845360824,0.08247422680412371,0.15463917525773196,2
SANTO AMARO,70,27.928571428571427,0.04285714285714286,0.15714285714285714,0.14285714285714285,0.08571428571428572,0.5857142857142857,0.18571428571428572,0.1,0.34285714285714286,0.3,0.02857142857142857,0.05714285714285714,0.17142857142857143,1
TOTOS,37,30.054054054054053,0.05405405405405406,0.16216216216216217,0.21621621621621623,0.02702702702702703,0.5405405405405406,0.21621621621621623,0.08108108108108109,0.2702702702702703,0.24324324324324326,0.05405405405405406,0.08108108108108109,0.2702702702702703,1
VARZEA,163,29.441717791411044,0.05521472392638037,0.25766871165644173,0.2331288343558282,0.1165644171779141,0.4723926380368098,0.17791411042944785,0.1165644171779141,0.2392638036809816,0.36809815950920244,0.06134969325153374,0.08588957055214724,0.12883435582822086,0
VASCO DA GAMA,64,30.828125,0.03125,0.25,0.15625,0.109375,0.5,0.234375,0.046875,0.171875,0.484375,0.046875,0.078125,0.171875,0
